model,prompt,wall_clock_s,cost_usd,quality_1_5,input_tokens,output_tokens
claude-sonnet-5,p1-rate-limiter,20.105,0.023549,4,1,1985
claude-sonnet-5,p2-refactor,6.963,0.006484,3,1,259
claude-sonnet-5,p3-caching-layer,42.728,0.0411815,4,1,3734
claude-sonnet-5,p4-unit-tests,18.797,0.0224215,4,1,1856
claude-opus-5,p1-rate-limiter,53.652,0.182985,5,2,4556
claude-opus-5,p2-refactor,12.065,0.02707275,5,2,695
claude-opus-5,p3-caching-layer,136.661,0.25792075,5,2,9898
claude-opus-5,p4-unit-tests,39.626,0.09646225,5,2,3225
gpt-5.6-sol,p1-rate-limiter,8.026,0.071977,4,6263,781
gpt-5.6-sol,p2-refactor,3.585,0.058121,3,6319,63
gpt-5.6-sol,p3-caching-layer,50.205,0.13355,4,6300,3843
gpt-5.6-sol,p4-unit-tests,7.443,0.065948,4,6302,462
gpt-5.6-terra,p1-rate-limiter,7.257,0.0362395,4,6265,671
gpt-5.6-terra,p2-refactor,3.566,0.0291595,2,6321,60
gpt-5.6-terra,p3-caching-layer,18.658,0.057396,3,6302,2325
gpt-5.6-terra,p4-unit-tests,5.612,0.034821,2,6304,443
